Policy_ID,Age,Gender,Location,Insurance_Type,Coverage_Amount,Premium,Deductible,Risk_Factor,Claims_Count,Total_Claim_Cost,Claim_Reason,Customer_Feedback_Score,Policy_Start_Date,Last_Claim_Date
1,62,Non-Binary,Rural,Automotive,243204.71,1546.8,150.3,0.34,2,5970.34,Other,6,2022-05-01 23:36:59,2012-10-13 12:05:46
2,65,Female,Urban,Home,268113.18,1449.16,191.15,0.27,0,0,Natural Disaster,2,2010-11-04 05:45:41,2012-01-07 13:24:21
3,18,Female,Suburban,Automotive,332964.71,379.91,490.2,0.38,1,10764.12,Accident,7,2014-01-25 14:19:11,2021-12-07 19:10:09
4,21,Non-Binary,Urban,Life,94622.29,1268.73,783.15,0.13,3,27433.16,Accident,7,2015-08-21 10:23:22,2016-11-30 05:45:06
5,21,Non-Binary,Suburban,Life,446639.21,1954.53,417.06,0.24,2,18946.25,Theft,7,2010-08-01 20:14:13,2011-11-27 17:47:36
6,57,Female,Urban,Home,304701.18,1399.04,897.78,0.12,0,0,Theft,9,2017-11-10 14:11:35,2011-02-03 04:16:04
7,27,Female,Suburban,Home,354060.15,791.55,259.61,0.21,1,1700.7,Natural Disaster,10,2017-10-09 23:05:25,2011-03-29 17:19:43
8,37,Non-Binary,Suburban,Automotive,465187.84,1604.93,302.01,0.32,1,1288.99,Accident,10,2014-08-21 23:05:57,2011-07-13 10:10:04
9,39,Non-Binary,Rural,Home,339053.45,1124.91,139.45,0.09,3,34995.93,Natural Disaster,8,2020-07-11 15:48:00,2020-01-02 03:44:50
10,68,Non-Binary,Suburban,Life,82280.53,498.78,825.63,0.64,1,4229.99,Theft,6,2014-09-12 12:27:16,2010-10-15 02:20:34
11,54,Female,Rural,Life,87610.34,1789.5,790.59,0.19,1,8928.4,Theft,8,2017-01-17 08:19:13,2022-05-16 22:14:04
12,41,Male,Urban,Life,305704.07,1667.69,935.1,0.43,2,11463.44,Accident,1,2013-11-25 08:11:35,2013-12-13 23:08:29
13,24,Non-Binary,Urban,Life,102499.35,345.43,871.37,0.37,2,9614.01,Other,9,2014-01-31 18:32:54,2011-10-31 04:36:38
14,42,Male,Urban,Home,69298.02,369.21,105.49,0.42,2,14976.55,Accident,9,2012-11-17 12:10:47,2018-12-24 16:36:43
15,42,Male,Urban,Life,222647.89,620.79,671.04,0.31,1,1307.65,Theft,5,2014-03-23 16:35:21,2014-02-02 02:00:26
16,30,Female,Urban,Life,490150.59,1767.16,292.06,0.04,1,11637.28,Other,3,2014-03-27 11:04:40,2022-02-11 18:51:44
17,19,Female,Rural,Life,297369.61,630.76,150.88,0.15,2,21772.85,Natural Disaster,7,2022-05-10 08:32:12,2012-10-05 14:54:44
18,56,Male,Urban,Automotive,448165.35,1866.93,981.9,0.64,0,0,Other,3,2016-04-30 18:51:40,2014-05-22 14:24:02
19,57,Female,Suburban,Automotive,253785.01,1168.47,366.17,0.13,1,5302.58,Other,10,2010-04-07 14:06:19,2018-05-01 21:16:50
20,41,Non-Binary,Rural,Life,468794.96,788.33,494.39,0.63,1,9923.81,Theft,3,2016-09-19 06:38:59,2022-03-07 20:54:14
21,64,Non-Binary,Suburban,Home,63461.55,512.56,525.77,0.12,0,0,Other,8,2022-07-12 01:04:38,2013-11-21 20:22:44
22,42,Male,Rural,Home,373752.55,1285.92,975.36,0.78,1,13101.48,Accident,3,2012-06-13 09:39:48,2014-05-22 07:16:08
23,35,Male,Suburban,Automotive,479911.05,1824.1,546.41,0.27,0,0,Accident,10,2011-05-03 10:47:22,2015-10-31 16:05:39
24,55,Non-Binary,Rural,Automotive,261305.03,1354.62,753.53,0.44,1,11904.31,Accident,7,2016-08-21 11:00:04,2010-08-23 15:22:06
25,43,Non-Binary,Urban,Home,164234.77,1038.32,343.57,0.23,1,13953.73,Accident,7,2018-04-12 09:58:59,2013-04-28 13:41:48
26,31,Male,Rural,Automotive,343176.9,1362.52,603.7,0.2,1,6116.38,Natural Disaster,8,2015-06-09 18:58:09,2020-04-15 06:19:12
27,26,Non-Binary,Rural,Automotive,221888.34,1549.06,560.49,0.11,1,3092.82,Other,3,2010-02-08 15:33:08,2013-08-02 17:53:31
28,27,Female,Suburban,Life,202344.02,706.57,181.83,0.21,1,6129.99,Accident,4,2020-12-15 09:56:32,2016-07-21 09:04:47
29,38,Female,Rural,Home,210824.54,759,874.76,0.09,1,6080.93,Accident,1,2014-04-27 10:54:02,2021-03-25 14:23:27
30,69,Male,Rural,Life,235251.24,1817,238.28,0.18,1,3790.45,Accident,5,2016-03-07 06:43:25,2012-05-14 02:47:26
31,34,Female,Urban,Automotive,252902.84,1627.19,490.28,0.17,1,5006.3,Natural Disaster,2,2020-08-07 03:05:44,2020-11-01 05:40:52
32,69,Male,Suburban,Automotive,125017.1,1534.99,918.42,0.32,2,29860.89,Theft,2,2019-02-09 02:01:22,2020-03-02 01:14:12
33,23,Female,Rural,Automotive,354323.19,1440.02,642.41,0.35,1,9865.64,Theft,10,2012-07-18 04:06:29,2011-06-06 03:15:22
34,33,Female,Suburban,Automotive,428089.14,1182.88,446.57,0.42,2,17284.25,Other,8,2022-02-16 16:52:56,2015-01-06 11:18:01
35,65,Male,Rural,Home,380431.44,916.1,811.76,0.22,1,5443.42,Accident,4,2014-09-09 10:15:18,2019-07-19 20:27:24
36,18,Non-Binary,Rural,Home,238813.37,966.05,159.53,0.38,0,0,Natural Disaster,7,2018-06-24 19:45:23,2016-11-29 14:01:06
37,36,Male,Suburban,Home,124761.37,434.89,784.41,0.12,4,52000.3,Other,7,2016-05-16 21:38:55,2021-03-25 12:03:40
38,53,Male,Urban,Home,370318.65,1806.53,878.15,0.14,0,0,Other,5,2020-10-13 06:34:35,2010-08-29 03:45:16
39,42,Non-Binary,Rural,Life,73696.65,335.73,799.77,0.25,0,0,Natural Disaster,1,2017-02-17 12:08:18,2013-08-13 07:48:14
40,67,Female,Rural,Life,275875.87,1736.03,357.8,0.14,0,0,Other,2,2012-02-15 01:28:50,2010-09-11 10:19:39
41,69,Male,Rural,Life,477408.22,1074.44,406.29,0.16,0,0,Other,4,2019-04-28 13:46:46,2022-04-13 06:51:39
42,47,Male,Suburban,Automotive,208173,613.28,853.4,0.15,0,0,Natural Disaster,2,2017-01-23 21:11:42,2013-08-28 14:37:49
43,37,Male,Urban,Home,380153.29,1359.08,303.53,0.07,0,0,Theft,9,2016-03-17 04:50:39,2012-12-25 02:46:10
44,37,Female,Rural,Home,470617.96,1172.34,584.1,0.6,0,0,Theft,2,2014-06-15 01:59:18,2010-06-13 08:27:21
45,32,Female,Rural,Home,102276.84,1389.16,602.98,0.22,1,6634.11,Accident,6,2022-11-20 16:40:16,2019-06-06 11:40:59
46,57,Non-Binary,Rural,Life,324117.87,921.81,831.1,0.13,0,0,Other,4,2018-11-01 03:31:44,2011-06-05 09:02:09
47,50,Male,Suburban,Automotive,303416.99,1657.55,114.52,0.31,1,2925.02,Theft,6,2016-10-22 09:53:35,2010-12-01 18:14:45
48,19,Non-Binary,Suburban,Automotive,272112.26,1027.99,999.91,0.1,1,13671.72,Natural Disaster,1,2022-06-26 20:10:57,2021-02-07 16:22:40
49,27,Non-Binary,Suburban,Automotive,279974.25,960.43,226.13,0.28,0,0,Accident,10,2018-05-18 16:41:36,2022-03-12 02:26:00
50,50,Male,Suburban,Life,229454.42,1364.85,420.46,0.25,0,0,Natural Disaster,9,2021-11-20 01:50:51,2020-08-25 22:33:16
51,49,Male,Urban,Home,111061.78,1721.34,703.66,0.5,2,9359.4,Accident,8,2018-05-27 09:08:36,2018-10-08 19:55:17
52,28,Non-Binary,Suburban,Life,144554.37,449.09,117.54,0.09,1,5576.98,Natural Disaster,1,2014-06-30 09:21:14,2012-04-06 06:51:23
53,41,Female,Suburban,Home,75367.19,1043.66,545.87,0.03,4,21570.23,Theft,7,2016-08-03 09:51:31,2016-01-24 05:27:52
54,53,Non-Binary,Rural,Automotive,423996.92,1104.07,111.9,0.13,0,0,Other,10,2016-08-29 20:44:38,2016-12-21 11:39:34
55,29,Female,Suburban,Home,56842.39,1204.3,328.77,0.34,2,22364.4,Natural Disaster,3,2017-10-21 15:44:52,2010-05-05 02:15:08
56,68,Female,Urban,Automotive,152233.51,854.16,927.57,0.35,2,24810.19,Accident,8,2017-12-07 14:50:05,2010-10-21 02:37:32
57,46,Non-Binary,Urban,Automotive,429107.1,612.17,377.74,0.27,2,5458.74,Theft,2,2022-04-04 02:20:16,2017-03-06 16:46:01
58,52,Male,Rural,Automotive,462210.52,688.44,948.25,0.2,0,0,Theft,9,2011-07-02 09:40:30,2016-05-17 17:12:07
59,18,Non-Binary,Urban,Home,195565.14,719.31,449.35,0.34,0,0,Theft,3,2019-03-22 04:30:08,2011-08-01 01:05:41
60,18,Non-Binary,Suburban,Life,357239.91,1004.09,610.99,0.08,1,6663.78,Theft,7,2016-03-05 20:09:00,2022-09-18 22:09:51
61,54,Female,Suburban,Automotive,61921.97,1241.47,766.53,0.39,1,3088.78,Natural Disaster,9,2021-02-08 04:37:05,2014-01-12 07:25:36
62,23,Non-Binary,Urban,Home,472402.13,864.09,850.17,0.09,1,3844.02,Other,10,2016-11-13 12:08:46,2013-07-16 05:25:39
63,56,Male,Urban,Automotive,145290.38,1703.59,141.43,0.15,1,4287.84,Accident,1,2012-01-05 19:20:20,2019-02-19 06:29:18
64,58,Non-Binary,Suburban,Home,117541.1,1108.96,421.83,0.25,0,0,Other,8,2016-06-30 10:23:53,2011-02-01 23:55:40
65,35,Non-Binary,Rural,Life,91281.27,819.92,157.66,0.25,2,22919.13,Accident,8,2011-02-14 09:10:07,2022-09-29 07:22:40
66,33,Female,Suburban,Automotive,350996.39,887.58,975.39,0.26,1,6760.55,Theft,6,2012-06-10 10:41:57,2021-01-29 13:19:31
67,22,Male,Rural,Automotive,199506.79,1981.77,341.97,0.04,0,0,Natural Disaster,6,2011-05-20 18:18:18,2018-12-02 13:37:53
68,59,Male,Rural,Automotive,287102.15,1424.6,475.86,0.27,0,0,Theft,6,2015-06-22 10:26:53,2022-11-09 22:25:12
69,60,Female,Urban,Life,492234.48,996.45,474.44,0.16,1,225.18,Natural Disaster,6,2020-11-09 22:09:15,2015-11-12 21:46:52
70,49,Male,Rural,Home,106287.7,1824.64,412.26,0.29,0,0,Theft,6,2019-06-20 14:24:37,2017-11-24 17:04:12
71,19,Male,Suburban,Automotive,306169.81,1599.84,215.62,0.59,0,0,Natural Disaster,9,2017-07-09 13:46:10,2014-07-07 00:06:08
72,19,Non-Binary,Suburban,Automotive,181121.54,1769.84,316.34,0.42,1,14286.05,Theft,8,2015-06-10 23:32:49,2013-08-20 10:55:18
73,57,Female,Urban,Life,302279.18,573.9,656.07,0.23,1,10455.86,Natural Disaster,5,2014-04-19 10:29:42,2018-07-27 15:50:57
74,59,Male,Rural,Home,441372.74,1664.11,814.76,0.36,2,24202.32,Theft,2,2022-01-11 10:26:46,2020-04-23 20:59:56
75,53,Female,Suburban,Life,353029.72,1116.19,858.6,0.18,2,28629.31,Natural Disaster,1,2010-05-22 03:52:48,2010-10-30 08:39:26
76,56,Non-Binary,Rural,Life,473436.82,415.85,315.85,0.01,1,796.45,Accident,8,2015-01-12 23:32:05,2014-08-17 07:43:02
77,29,Male,Suburban,Automotive,384490.53,456.46,271.54,0.32,2,28708.9,Natural Disaster,4,2010-05-06 03:21:36,2014-01-04 18:28:59
78,64,Female,Suburban,Home,279629.16,1274.78,515.68,0.04,0,0,Natural Disaster,6,2020-10-15 05:17:01,2017-06-01 23:35:49
79,36,Male,Suburban,Automotive,112427.16,960.82,531.62,0.25,0,0,Other,7,2020-11-13 10:05:13,2016-10-06 09:29:48
80,45,Female,Suburban,Automotive,96692.16,420.4,427.8,0.38,0,0,Natural Disaster,9,2010-12-07 00:04:14,2012-06-23 02:40:45
81,18,Non-Binary,Urban,Life,193826.77,1041.82,414.55,0.35,1,11450.65,Accident,4,2012-06-08 20:15:10,2010-03-21 22:37:00
82,32,Non-Binary,Urban,Life,210058.5,1646.65,758.48,0.36,2,15591.46,Accident,4,2019-01-18 17:53:35,2010-05-20 21:41:15
83,53,Male,Rural,Automotive,419326.31,665.52,981.33,0.48,2,24493.6,Theft,4,2021-08-22 06:56:25,2021-11-29 00:35:55
84,30,Male,Rural,Life,276618.99,1528.33,111.59,0.16,1,2578.38,Natural Disaster,1,2022-12-13 15:40:32,2022-08-13 06:14:05
85,60,Female,Urban,Life,284370.92,1024.72,199.39,0.18,1,12590,Theft,9,2022-04-14 11:48:04,2010-04-19 02:27:58
86,38,Male,Suburban,Home,498730.82,858.79,315.96,0.22,2,6512.01,Theft,9,2019-12-20 16:05:19,2019-05-25 23:27:12
87,29,Non-Binary,Rural,Automotive,335280.15,1010.18,895.96,0.19,2,23855.55,Theft,1,2012-02-28 21:02:04,2013-08-31 11:25:17
88,22,Non-Binary,Rural,Automotive,312413.86,1381.03,887.35,0.53,1,3224.11,Other,4,2013-06-16 00:49:20,2022-05-25 09:57:49
89,24,Non-Binary,Urban,Home,422720.12,950.98,466.16,0.4,0,0,Natural Disaster,5,2013-09-24 01:00:24,2021-01-23 17:53:05
90,22,Male,Rural,Life,118423.65,1206.88,460.69,0.36,0,0,Accident,9,2013-03-05 08:48:51,2022-11-02 04:35:10
91,65,Female,Urban,Home,437373.41,427.23,499.58,0.23,1,4457.39,Other,6,2016-02-05 14:03:21,2014-05-26 16:00:59
92,21,Non-Binary,Suburban,Home,169568.84,1428.77,134.05,0.2,3,37735.07,Other,4,2022-10-23 16:54:05,2011-03-01 22:44:50
93,30,Non-Binary,Rural,Home,181262.7,545.78,878.78,0.04,4,8872.84,Other,7,2020-12-20 12:34:29,2016-09-07 15:37:00
94,54,Male,Suburban,Life,354717.9,587.16,734.88,0.43,1,5442.68,Natural Disaster,4,2016-05-29 11:52:58,2020-04-30 16:41:26
95,58,Male,Suburban,Home,104522.66,1484.19,389.38,0.14,2,29682.75,Accident,8,2022-12-18 00:08:29,2010-04-18 04:25:09
